Anime,URL,MAL_ID
Tales of Phantasia,https://www.anime-planet.com/anime/tales-of-phantasia,391
Yu Yu Hakusho,https://www.anime-planet.com/anime/yu-yu-hakusho,392
Ai Yori Aoshi Enishi,https://www.anime-planet.com/anime/ai-yori-aoshi-enishi,394
Crest of the Stars,https://www.anime-planet.com/anime/crest-of-the-stars,396
Banner of the Stars II,https://www.anime-planet.com/anime/banner-of-the-stars-ii,397
Banner of the Stars III,https://www.anime-planet.com/anime/banner-of-the-stars-iii,398
My Teen Romantic Comedy SNAFU TOO! OVA,https://www.anime-planet.com/anime/my-teen-romantic-comedy-snafu-too-ova,33161
Outlaw Star,https://www.anime-planet.com/anime/outlaw-star,400
Rurouni Kenshin: Seisouhen,https://www.anime-planet.com/anime/rurouni-kenshin-seisouhen,401
∞,https://www.anime-planet.com/anime/infinity,33170
Hanaukyo Maid Team,https://www.anime-planet.com/anime/hanaukyo-maid-team,403
Bastard!!,https://www.anime-planet.com/anime/bastard,404
Blood: The Last Vampire,https://www.anime-planet.com/anime/blood-the-last-vampire,405
Buzzer Beater,https://www.anime-planet.com/anime/buzzer-beater,406
Detective Academy Q,https://www.anime-planet.com/anime/detective-academy-q,407
Final Fantasy VII: Last Order,https://www.anime-planet.com/anime/final-fantasy-vii-last-order,408
"Three Leaves, Three Colors Specials",https://www.anime-planet.com/anime/three-leaves-three-colors-specials,33173
Gun x Sword,https://www.anime-planet.com/anime/gun-x-sword,411
Mars of Destruction,https://www.anime-planet.com/anime/mars-of-destruction,413
Rainbow Days OVA,https://www.anime-planet.com/anime/rainbow-days-ova,33181
My Neighbors The Yamadas,https://www.anime-planet.com/anime/my-neighbors-the-yamadas,415
Porco Rosso,https://www.anime-planet.com/anime/porco-rosso,416
Ragnarok: The Animation,https://www.anime-planet.com/anime/ragnarok-the-animation,417
Samurai Deeper Kyo,https://www.anime-planet.com/anime/samurai-deeper-kyo,419
Spriggan,https://www.anime-planet.com/anime/spriggan,420
Stratos 4,https://www.anime-planet.com/anime/stratos-4,421
Stratos 4 OVA,https://www.anime-planet.com/anime/stratos-4-ova,422
Thus Spoke Kishibe Rohan,https://www.anime-planet.com/anime/thus-spoke-kishibe-rohan,33191
Stratos 4 Advance,https://www.anime-planet.com/anime/stratos-4-advance,423
