Anime,URL,Tags,Alts,id
Ah! My Goddess TV Specials,https://www.anime-planet.com/anime/ah-my-goddess-tv-specials,"['Comedy', 'Fantasy', 'Romance', 'Seinen', 'Magic', 'Non-Human Protagonists', 'Based on a Manga']","
Alt title: Ah! Megami-sama! TV Specials
",1003
Ah! My Goddess: The Movie,https://www.anime-planet.com/anime/ah-my-goddess-the-movie,"['Fantasy', 'Romance', 'Seinen', 'Contemporary Fantasy', 'God-Human Relationship', 'Gods', 'Interspecies Relationship', 'Magic', 'Non-Human Protagonists', 'Based on a Manga']","
Alt titles: Gekijouban Ah! Megami-sama, Oh My Goddess! The Movie
",304
Ah! My Goddess: Flights of Fancy,https://www.anime-planet.com/anime/ah-my-goddess-flights-of-fancy,"['Comedy', 'Fantasy', 'Romance', 'Seinen', 'Contemporary Fantasy', 'God-Human Relationship', 'Gods', 'Interspecies Relationship', 'Magic', 'Non-Human Protagonists', 'Based on a Manga']","
Alt title: Ah! Megami-sama! Sorezore no Tsubasa
",880
Ah! My Goddess: Flights of Fancy Specials,https://www.anime-planet.com/anime/ah-my-goddess-flights-of-fancy-specials,"['Comedy', 'Fantasy', 'Romance', 'Seinen', 'God-Human Relationship', 'Gods', 'Interspecies Relationship', 'Magic', 'Non-Human Protagonists', 'Based on a Manga']","
Alt title: Ah! Megami-sama!: Sorezore no Tsubasa Specials
",2198
Ah! My Goddess: Fighting Wings,https://www.anime-planet.com/anime/ah-my-goddess-fighting-wings,"['Fantasy', 'Seinen', 'Gods', 'Magic', 'Non-Human Protagonists', 'Based on a Manga']","
Alt title: Ah! Megami-sama! Tatakau Tsubasa
",3090
ohmygoddesstheadventuresofminigoddess,https://www.anime-planet.com/anime/oh-my-goddess-the-adventures-of-mini-goddess,"['Comedy', 'Fantasy', 'Chibi', 'Gods', 'Magic', 'Non-Human Protagonists', 'Short Episodes', 'Based on a Manga']","
Alt title: Ah! Megami-sama!: Chichaitte Koto wa Benri da ne
",303
aachiwassipak,https://www.anime-planet.com/anime/aachi-wa-ssipak,"['Action', 'Comedy', 'Guns', 'Korean Animation', 'Mature Themes', 'Nudity', 'Violence']","
Alt title: Aachi and Ssipak
",2884
Rowdy Sumo Wrestler Matsutaro,https://www.anime-planet.com/anime/rowdy-sumo-wrestler-matsutaro,"['Comedy', 'Seinen', 'Sports', 'Hand to Hand Combat', 'Sumo Wrestling', 'Wrestling', 'Based on a Manga']","
Alt title: Abarenbou Rikishi!! Matsutarou
",22831
The Abashiri Family,https://www.anime-planet.com/anime/the-abashiri-family,"['Action', 'Comedy', 'Ecchi', 'Shounen', 'Criminals', 'Gangs', 'Hand to Hand Combat', 'School Life', 'Violence', 'Based on a Manga']","
Alt title: Abashiri Ikka
",305
Magical Shopping Arcade Abenobashi,https://www.anime-planet.com/anime/magical-shopping-arcade-abenobashi,"['Comedy', 'Fantasy', 'Childhood Friends', 'Child Protagonists', 'Magic', 'Parody', 'Person in a Strange World', 'Original Work']","
Alt title: Abenobashi Mahou Shoutengai
",306
Absolute Duo,https://www.anime-planet.com/anime/absolute-duo,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Magic School', 'School Life', 'Based on a Light Novel']",,25397
Abstract feat. Alkama,https://www.anime-planet.com/anime/abstract-feat-alkama,"['Abstract', 'No Dialogue', 'Shorts', 'Stop Motion Animation']",,36182
ACCA: 13-Territory Inspection Dept.,https://www.anime-planet.com/anime/acca-13-territory-inspection-dept,"['Drama', 'Mystery', 'Seinen', 'Conspiracy', 'Military', 'Police', 'Political', 'Based on a Manga']","
Alt title: ACCA: 13-ku Kansatsu-ka
",33337
ACCA: 13-Territory Inspection Dept. - Regards,https://www.anime-planet.com/anime/acca-13-territory-inspection-dept-regards,"['Drama', 'Seinen', 'Military', 'Police', 'Based on a Manga']","
Alt title: ACCA: 13-ku Kansatsu-ka - Regards
",39610
ACCA: 13-Territory Inspection Dept. Specials,https://www.anime-planet.com/anime/acca-13-territory-inspection-dept-specials,"['Seinen', 'Based on a Manga']","
Alt title: ACCA: 13-ku Kansatsu-ka Specials
",35720
